name,type,unit,raw_value,canonical_value,expression,dependencies,note
kon_PD1_aPD1,base,1/(molarity*second),1300000.0,112320000000.0,,,
kon_PDL1_aPDL1,base,1/(molarity*second),430000.0,37152000000.0,,,
kout,base,1/day,28.8,28.8,,,
n_PD1,base,dimensionless,2.0,2.0,,,
n_T0_clones,base,dimensionless,1000.0,1000.0,,,
n_T1_clones,base,dimensionless,100.0,100.0,,,
n_sites_APC,base,dimensionless,10.0,10.0,,,
p0_50,base,molecule/micrometer^2,2.64550264550265e-05,26455026.4550265,,,
p1_50,base,molecule/micrometer^2,2.64550264550265e-05,26455026.4550265,,,
pTCR_p0_MHC_tot,base,molecule/micrometer^2,0.0004148149028281,414814902.8281,,,
pTCR_p1_MHC_tot,base,molecule/micrometer^2,8.17445954930017e-07,817445.954930017,,,
phi_M1p1_TCR,base,1/second,0.09,7776.0,,,
q_LD_nivolumab,base,1/minute,0.0015,2.16,,,
q_LN_T0_in,base,1/day/milliliter,0.07,70.0,,,
q_LN_T1_in,base,1/day/milliliter,0.07,70.0,,,
q_LN_nivolumab,base,1/second,1.73655e-07,0.015003792,,,
q_P_nivolumab,base,1/second,1.73655e-07,0.015003792,,,
q_T0_LN_out,base,1/day,1.13,1.13,,,
q_T0_P_in,base,1/minute,0.0402,57.888,,,
q_T0_P_out,base,1/day,0.015,0.015,,,
q_T0_T_in,base,1/(centimeter^3*minute),6.7e-07,0.9648000000000001,,,
q_T1_LN_out,base,1/day,1.13,1.13,,,
q_T1_P_in,base,1/minute,0.0402,57.888,,,
q_T1_P_out,base,1/day,1.0,1.0,,,
q_T1_T_in,base,1/(centimeter^3*minute),6.7e-07,0.9648000000000001,,,
q_T_nivolumab,base,1/second,8.52e-06,0.736128,,,
vol_Tcell,base,micrometer^3/cell,176.0,1.76e-13,,,
vol_cell,base,micrometer^3/cell,2527.31128244685,2.52731128244685e-12,,,
