species,reaction,stoichiometry
V_C.nT1,Reaction_7,1
V_C.nT1,Reaction_9,1
V_C.nT1,Reaction_11,-1
V_C.nT1,Reaction_12,-1
V_C.nT1,Reaction_13,1
V_C.nT1,Reaction_14,-1
V_C.nT1,Reaction_15,1
V_C.T1,Reaction_20,-1
V_C.T1,Reaction_26,-1
V_C.T1,Reaction_27,1
V_C.T1,Reaction_28,-1
V_C.T1,Reaction_29,1
V_C.nT2,Reaction_34,1
V_C.nT2,Reaction_36,1
V_C.nT2,Reaction_38,-1
V_C.nT2,Reaction_39,-1
V_C.nT2,Reaction_40,1
V_C.nT2,Reaction_41,-1
V_C.nT2,Reaction_42,1
V_C.T2,Reaction_47,-1
V_C.T2,Reaction_53,-1
V_C.T2,Reaction_54,1
V_C.T2,Reaction_55,-1
V_C.T2,Reaction_56,1
V_C.nivolumab,Reaction_60,-1
V_C.nivolumab,Reaction_61,-1
V_C.nivolumab,Reaction_62,-1
V_C.nivolumab,Reaction_64,1
V_C.nivolumab,Reaction_65,-1
V_P.nT1,Reaction_8,1
V_P.nT1,Reaction_10,-1
V_P.nT1,Reaction_12,1
V_P.nT1,Reaction_13,-1
V_P.T1,Reaction_21,-1
V_P.T1,Reaction_26,1
V_P.T1,Reaction_27,-1
V_P.nT2,Reaction_35,1
V_P.nT2,Reaction_37,-1
V_P.nT2,Reaction_39,1
V_P.nT2,Reaction_40,-1
V_P.T2,Reaction_48,-1
V_P.T2,Reaction_53,1
V_P.T2,Reaction_54,-1
V_P.nivolumab,Reaction_60,1
V_T.C_x,Reaction_1,-1
V_T.C_x,Reaction_4,1
V_T.C_x,Reaction_6,1
V_T.C_x,Reaction_33,1
V_T.C_x,Reaction_58,1
V_T.C_x,Reaction_59,1
V_T.T_exh,Reaction_2,-1
V_T.T_exh,Reaction_22,1
V_T.T_exh,Reaction_24,1
V_T.T_exh,Reaction_25,1
V_T.T_exh,Reaction_49,1
V_T.T_exh,Reaction_51,1
V_T.T_exh,Reaction_52,1
V_T.C1,Reaction_3,1
V_T.C1,Reaction_4,-1
V_T.C1,Reaction_33,-1
V_T.C1,Reaction_58,-1
V_T.C2,Reaction_5,1
V_T.C2,Reaction_6,-1
V_T.C2,Reaction_59,-1
V_T.T1,Reaction_22,-1
V_T.T1,Reaction_24,-1
V_T.T1,Reaction_25,-1
V_T.T1,Reaction_28,1
V_T.T2,Reaction_49,-1
V_T.T2,Reaction_51,-1
V_T.T2,Reaction_52,-1
V_T.T2,Reaction_55,1
V_T.nivolumab,Reaction_61,1
V_T.nivolumab,Reaction_63,-1
V_LN.nT1,Reaction_14,1
V_LN.nT1,Reaction_15,-1
V_LN.nT1,Reaction_16,-1
V_LN.aT1,Reaction_17,1
V_LN.aT1,Reaction_18,-1
V_LN.T1,Reaction_19,1
V_LN.T1,Reaction_23,-1
V_LN.T1,Reaction_29,-1
V_LN.IL2,Reaction_30,-1
V_LN.IL2,Reaction_31,-1
V_LN.IL2,Reaction_32,1
V_LN.IL2,Reaction_57,1
V_LN.nT2,Reaction_41,1
V_LN.nT2,Reaction_42,-1
V_LN.nT2,Reaction_43,-1
V_LN.aT2,Reaction_44,1
V_LN.aT2,Reaction_45,-1
V_LN.T2,Reaction_46,1
V_LN.T2,Reaction_50,-1
V_LN.T2,Reaction_56,-1
V_LN.nivolumab,Reaction_62,1
V_LN.nivolumab,Reaction_63,1
V_LN.nivolumab,Reaction_64,-1
syn_T1_C1.PD1_PDL1,Reaction_66,1
syn_T1_C1.PD1_PDL2,Reaction_67,1
syn_T1_C1.PD1,Reaction_66,-1
syn_T1_C1.PD1,Reaction_67,-1
syn_T1_C1.PD1,Reaction_68,-1
syn_T1_C1.PD1,Reaction_69,-1
syn_T1_C1.PDL1,Reaction_66,-1
syn_T1_C1.PDL1,Reaction_70,-1
syn_T1_C1.PDL1,Reaction_71,-1
syn_T1_C1.PDL2,Reaction_67,-1
syn_T1_C1.PD1_aPD1,Reaction_68,1
syn_T1_C1.PD1_aPD1,Reaction_69,-1
syn_T1_C1.PD1_aPD1_PD1,Reaction_69,1
syn_T1_C1.PDL1_aPDL1,Reaction_70,1
syn_T1_C1.PDL1_aPDL1,Reaction_71,-1
syn_T1_C1.PDL1_aPDL1_PDL1,Reaction_71,1
